City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Yerofey Pavlovich,RU,53.9667,121.9667,34.12,45,22,1.9,few clouds
Hofn,IS,64.2539,-15.2082,40.59,65,100,8.28,overcast clouds
Rongcheng,CN,30.634,117.8517,57.76,97,100,3.0,light rain
Tasiilaq,GL,65.6145,-37.6368,35.76,97,100,4.12,light rain
Arraial Do Cabo,BR,-22.9661,-42.0278,72.81,86,31,4.61,scattered clouds
Butia,BR,-30.1197,-51.9622,55.76,89,0,3.4,clear sky
Zaranj,AF,30.9667,61.8833,66.16,16,0,12.75,clear sky
Liptovsky Mikulas,SK,49.0806,19.6222,53.76,93,22,4.92,few clouds
Amahai,ID,-3.3333,128.9167,84.56,68,27,1.32,scattered clouds
Bubaque,GW,11.2833,-15.8333,81.91,75,100,8.48,overcast clouds
Mezen,RU,65.8522,44.24,40.08,94,3,8.84,clear sky
Dabakala,CI,8.3667,-4.4333,71.28,98,93,3.74,overcast clouds
Victoria,HK,22.2855,114.1577,83.25,76,71,11.99,broken clouds
Thompson,CA,55.7435,-97.8558,46.56,57,75,11.5,broken clouds
Hithadhoo,MV,-0.6,73.0833,80.56,78,99,14.09,overcast clouds
Laguna,US,38.421,-121.4238,96.78,21,0,9.22,clear sky
Turukhansk,RU,65.8167,87.9833,33.12,99,100,14.92,snow
Saint-Georges,GD,12.0564,-61.7485,82.08,83,40,20.71,scattered clouds
Tiksi,RU,71.6872,128.8694,24.37,89,100,18.43,overcast clouds
Bethel,US,41.3712,-73.414,66.51,72,75,5.75,broken clouds
Svetlogorsk,BY,52.6333,29.7333,44.06,91,0,6.4,clear sky
Carnarvon,AU,-24.8667,113.6333,72.36,29,0,11.27,clear sky
Hyeres,FR,43.1167,6.1167,63.68,82,0,5.75,clear sky
Flinders,AU,-34.5833,150.8552,74.17,78,100,4.0,light rain
Kavaratti,IN,10.5669,72.642,81.19,73,42,13.98,scattered clouds
Souillac,MU,-20.5167,57.5167,70.18,73,40,11.5,scattered clouds
Auki,SB,-8.7676,160.7034,84.97,64,62,1.57,broken clouds
Tuatapere,NZ,-46.1333,167.6833,58.53,47,7,6.24,clear sky
Progreso,MX,21.2833,-89.6667,79.34,77,71,10.71,broken clouds
Kankon,IN,15.0167,74.0167,75.76,87,49,4.09,scattered clouds
Fort Nelson,CA,58.8053,-122.7002,65.79,39,75,4.61,broken clouds
Vila Do Maio,CV,15.1333,-23.2167,81.39,85,61,8.05,broken clouds
Luderitz,NA,-26.6481,15.1594,59.45,72,3,16.82,clear sky
Kahului,US,20.8947,-156.47,87.82,70,40,18.41,scattered clouds
Matadi,CD,-5.8167,13.45,74.95,88,100,4.83,overcast clouds
Lavrentiya,RU,65.5833,-171.0,36.36,62,21,7.94,few clouds
Tomatlan,MX,19.9333,-105.25,76.53,88,0,1.77,clear sky
Waw,SS,7.7029,27.9953,68.49,96,99,3.87,light rain
Hambantota,LK,6.1241,81.1185,75.54,94,20,3.44,few clouds
Aklavik,CA,68.2191,-135.0107,46.17,65,89,11.36,overcast clouds
College,US,64.8569,-147.8028,44.58,80,100,4.61,overcast clouds
Peleduy,RU,59.6289,112.7406,31.59,89,100,7.78,overcast clouds
Abu Road,IN,24.4833,72.7833,74.52,86,100,3.74,overcast clouds
Pochutla,MX,15.7432,-96.4661,84.02,88,24,3.94,few clouds
Iskateley,RU,67.6803,53.1512,43.92,88,100,17.34,light rain
Alot,IN,23.7667,75.55,72.01,94,100,8.66,moderate rain
Vuktyl,RU,63.8567,57.3094,43.05,90,100,8.88,overcast clouds
North Bend,US,43.4065,-124.2243,59.92,97,100,12.66,mist
Port Hardy,CA,50.6996,-127.4199,53.78,100,75,5.75,fog
Nikolskoye,RU,59.7035,30.7861,51.69,78,48,11.86,scattered clouds
Sun City West,US,33.662,-112.3413,90.41,29,0,6.91,clear sky
Egvekinot,RU,66.3167,-179.1667,23.47,80,98,2.66,overcast clouds
Solhan,TR,38.9634,41.0293,62.37,38,35,6.67,scattered clouds
Grants,US,35.1473,-107.8514,57.43,62,0,5.75,clear sky
Tanete,ID,-3.9443,119.7848,81.27,77,96,5.55,light rain
Mikhaylovka,RU,50.06,43.2379,47.7,87,0,6.4,clear sky
Sundby,DK,54.864,11.793,57.02,78,100,19.1,overcast clouds
Lichinga,MZ,-13.3128,35.2406,64.49,48,0,11.99,clear sky
Guerrero Negro,MX,27.9769,-114.0611,72.64,75,2,13.11,clear sky
Cherskiy,RU,68.75,161.3,21.54,79,100,23.11,overcast clouds
Ranong,TH,9.9658,98.6348,75.13,86,100,2.44,overcast clouds
Kargil,IN,34.5667,76.1,39.18,67,1,4.14,clear sky
Naze,JP,28.3667,129.4833,74.32,63,93,11.03,overcast clouds
Asau,RO,46.4333,26.4,49.12,89,100,0.94,overcast clouds
Beringovskiy,RU,63.05,179.3167,31.73,86,93,4.05,light snow
Vao,NC,-22.6667,167.4833,72.46,80,12,24.76,few clouds
Adrar,MR,20.5022,-10.0711,89.2,20,21,7.47,few clouds
Graham,US,47.0529,-122.2943,77.4,59,0,5.75,clear sky
Norfolk,US,42.1668,-71.2495,67.48,77,0,5.75,clear sky
Severo-Kurilsk,RU,50.6789,156.125,46.15,57,66,5.21,broken clouds
Meulaboh,ID,4.1363,96.1285,74.68,82,100,3.56,overcast clouds
Hamadan,IR,34.7992,48.5146,47.28,31,0,2.3,clear sky
Pisco,PE,-13.7,-76.2167,60.85,82,0,8.05,clear sky
Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,89,90,8.21,overcast clouds
La Cruz,MX,23.9167,-106.9,80.2,71,5,5.44,clear sky
Mecca,SA,21.4267,39.8261,80.26,64,13,1.48,few clouds
Waipawa,NZ,-41.4122,175.5153,57.11,48,0,5.97,clear sky
Calabozo,VE,8.9242,-67.4293,75.07,93,99,4.52,overcast clouds
Klaksvik,FO,62.2266,-6.589,41.92,74,97,21.18,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,62.89,87,0,9.22,clear sky
Lebanon,US,36.2081,-86.2911,66.25,68,0,6.91,clear sky
At-Bashi,KG,41.1702,75.8106,39.85,70,100,1.66,overcast clouds
Talara,PE,-4.5772,-81.2719,63.64,90,62,17.05,broken clouds
Ponta Do Sol,PT,32.6667,-17.1,72.23,79,17,7.31,few clouds
Coihueco,CL,-36.6167,-71.8333,50.74,100,20,5.75,few clouds
Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,100,100,18.41,mist
Ancud,CL,-41.8697,-73.8203,43.63,71,6,15.52,clear sky
Ixtapa,MX,20.7,-105.2,77.18,94,25,1.39,scattered clouds
Pevek,RU,69.7008,170.3133,25.63,64,100,25.75,overcast clouds
San Patricio,US,28.017,-97.5169,80.46,60,100,5.1,overcast clouds
Oranjemund,NA,-28.55,16.4333,56.89,90,5,12.62,clear sky
Lermontovka,RU,47.1453,134.3383,46.51,51,11,4.79,few clouds
Dwarka,IN,22.2394,68.9678,81.86,81,27,10.25,scattered clouds
Khorixas,NA,-20.3667,14.9667,72.18,24,87,2.53,overcast clouds
Moron,AR,-34.6534,-58.6198,72.01,47,23,8.86,few clouds
Broome,US,42.2506,-75.833,49.69,77,100,12.66,overcast clouds
Provideniya,RU,64.3833,-173.3,37.24,55,85,9.55,overcast clouds
Kantabanji,IN,20.4833,82.9167,73.47,93,69,2.35,broken clouds
Tarko-Sale,RU,64.9225,77.785,39.78,96,100,8.77,light rain
Maniitsoq,GL,65.4167,-52.9,32.79,80,100,11.34,overcast clouds
Thunder Bay,CA,48.4001,-89.3168,37.38,65,20,10.36,few clouds
Moranbah,AU,-22.0016,148.0466,84.42,40,0,13.82,clear sky
Correia Pinto,BR,-27.5847,-50.3611,47.91,99,12,2.55,few clouds
Andenes,NO,69.3143,16.1194,44.92,81,20,11.5,few clouds
Deputatskiy,RU,69.3,139.9,16.23,88,100,31.34,light snow
Tumut,AU,-35.3,148.2167,62.13,63,99,7.49,overcast clouds
Masterton,NZ,-40.9597,175.6575,58.89,40,0,2.42,clear sky
Foumban,CM,5.7291,10.9001,62.67,94,100,2.51,overcast clouds
Kawalu,ID,-7.3817,108.2082,71.37,99,100,2.3,light rain
Kununurra,AU,-15.7667,128.7333,89.58,55,27,5.75,scattered clouds
Selfoss,IS,63.9331,-20.9971,37.04,81,100,5.84,overcast clouds
Sitka,US,57.0531,-135.33,57.09,82,75,3.44,broken clouds
Tautira,PF,-17.7333,-149.15,76.3,82,39,21.39,moderate rain
Kolno,PL,53.4115,21.9291,52.0,75,100,9.19,overcast clouds
Te Anau,NZ,-45.4167,167.7167,52.45,61,32,8.37,scattered clouds
Buin,CL,-33.7333,-70.75,63.73,94,66,3.91,broken clouds
Fortuna,US,40.5982,-124.1573,56.98,63,21,5.14,few clouds
Sabha,LY,27.0377,14.4283,70.38,44,0,11.61,clear sky
Banda,IN,25.4833,80.3333,77.27,86,100,5.59,overcast clouds
Charters Towers,AU,-20.1,146.2667,83.98,42,2,12.03,clear sky
College Station,US,30.628,-96.3344,81.0,39,0,3.44,clear sky
Formosa,AR,-26.1775,-58.1781,66.18,63,0,5.75,clear sky
Kloulklubed,PW,7.0419,134.2556,84.0,67,100,3.94,overcast clouds
Sakakah,SA,29.9697,40.2064,76.57,19,42,1.92,scattered clouds
Suntar,RU,62.1444,117.6319,30.04,80,100,8.28,overcast clouds
Lamu,KE,-2.2717,40.902,75.83,82,100,15.14,overcast clouds
Dire,ML,12.2833,-10.9667,73.83,93,100,1.36,overcast clouds
Naron,ES,43.5167,-8.1528,62.04,86,88,13.27,overcast clouds
Berlevag,NO,70.8578,29.0864,42.75,70,26,20.71,scattered clouds
Riverton,US,40.5219,-111.9391,75.06,33,0,5.75,clear sky
Praia,CV,14.9215,-23.5087,81.14,83,75,11.5,broken clouds
Sitrah,BH,26.1547,50.6206,84.2,84,0,2.3,clear sky
Bilma,NE,18.6853,12.9164,82.87,21,100,8.68,overcast clouds
Olyka,UA,50.7186,25.8125,50.16,76,3,8.19,clear sky
Bogorodskoye,RU,56.55,37.8833,44.87,87,100,7.52,overcast clouds
Usinsk,RU,65.9939,57.5281,42.64,91,100,12.3,light rain
Matara,LK,5.9485,80.5353,76.75,86,100,9.13,overcast clouds
Norman Wells,CA,65.282,-126.8329,57.24,47,75,6.91,broken clouds
Korla,CN,41.7597,86.1469,56.14,34,0,4.29,clear sky
Kropotkin,RU,45.4375,40.5756,56.68,74,5,13.47,clear sky
Buchanan,LR,5.8808,-10.0467,76.35,90,99,4.59,light rain
Husavik,IS,66.0449,-17.3389,35.26,81,100,2.33,overcast clouds
Majene,ID,-3.5403,118.9707,82.92,78,100,5.12,overcast clouds
Barcelona,ES,41.3888,2.159,67.78,85,75,4.61,broken clouds
Veselynove,UA,47.3567,31.2349,51.15,69,62,8.3,broken clouds
Geraldton,AU,-28.7667,114.6,63.01,55,0,5.75,clear sky
Broken Hill,AU,-31.95,141.4333,58.01,52,100,12.39,overcast clouds
Kabanjahe,ID,3.1001,98.4908,62.87,87,100,2.1,overcast clouds
Burnie,AU,-41.0667,145.9167,53.94,57,62,13.76,broken clouds
Sur,OM,22.5667,59.5289,77.94,65,0,6.55,clear sky
Sehithwa,BW,-20.4667,22.7167,71.02,20,0,6.91,clear sky
Faanui,PF,-16.4833,-151.75,77.99,76,23,20.22,light rain
Bathsheba,BB,13.2167,-59.5167,83.01,78,40,14.97,scattered clouds
Sembakung,ID,3.8167,117.25,84.07,73,44,1.77,scattered clouds
Borogontsy,RU,62.6683,131.1683,24.33,55,93,7.72,overcast clouds
Khasan,RU,42.4308,130.6434,50.4,45,100,1.32,overcast clouds
Meiktila,MM,20.8667,95.8667,75.83,87,26,8.66,scattered clouds
Aitape,PG,-3.1374,142.3475,86.43,66,88,6.02,overcast clouds
Gravdal,NO,68.1214,13.5031,46.26,84,100,8.1,overcast clouds
Launceston,AU,-41.45,147.1667,58.6,53,75,11.5,broken clouds
Xinan,CN,26.72,119.8556,70.12,74,100,6.13,overcast clouds
Talnakh,RU,69.4865,88.3972,33.21,95,100,11.27,light snow
Cordoba,AR,-31.4135,-64.1811,76.24,23,0,11.5,clear sky
Ati,TD,13.2154,18.3353,83.32,57,94,7.16,overcast clouds
Villa Carlos Paz,AR,-31.4241,-64.4978,72.39,26,0,1.99,clear sky
Vieste,IT,41.8825,16.175,67.42,73,100,3.53,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,50.72,53,0,6.91,clear sky
Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,11.5,broken clouds
Pestravka,RU,52.405,49.9583,45.16,91,12,8.59,few clouds
Kenai,US,60.5544,-151.2583,53.02,93,100,8.03,light rain
Dingle,PH,10.9995,122.6711,83.75,78,76,6.85,broken clouds
Muyezerskiy,RU,63.9333,31.65,50.72,88,100,16.82,overcast clouds
Moose Factory,CA,51.2585,-80.6094,35.6,69,0,10.36,clear sky
Olaine,LV,56.7853,23.9381,46.92,87,0,9.22,clear sky
Florida,US,28.7505,-82.5001,73.74,84,0,0.0,clear sky
Sao Lourenco Do Oeste,BR,-26.3592,-52.8511,48.72,90,0,1.39,clear sky
Sibolga,ID,1.7427,98.7792,77.68,77,100,2.95,overcast clouds
Novoagansk,RU,61.9449,76.6625,42.66,89,100,7.25,overcast clouds
Sioux Lookout,CA,50.1001,-91.917,42.87,49,75,10.36,broken clouds
Punta De Bombon,PE,-17.1717,-71.7931,60.44,77,9,1.95,clear sky
Northam,GB,51.0333,-4.2167,54.61,78,3,14.2,clear sky
Awjilah,LY,29.1081,21.2869,66.78,65,4,7.07,clear sky
Dieppe,FR,49.75,1.1667,53.33,92,100,1.01,overcast clouds
Akonolinga,CM,3.7667,12.25,66.45,99,100,3.87,moderate rain
Chara,RU,56.9064,118.2631,26.22,67,87,2.46,overcast clouds
Esperance,AU,-33.8667,121.9,59.32,56,100,13.35,overcast clouds
Necochea,AR,-38.5473,-58.7368,54.97,87,100,11.05,moderate rain
Tornio,FI,65.8481,24.1466,48.22,87,100,13.89,overcast clouds
Aswan,EG,24.0934,32.907,77.59,31,5,16.22,clear sky
Katsuura,JP,35.1333,140.3,66.88,74,100,10.02,overcast clouds
Rameswaram,IN,9.2833,79.3,81.84,72,99,2.44,overcast clouds
Clearwater,US,27.9659,-82.8001,76.98,74,0,8.99,clear sky
Anshun,CN,26.25,105.9333,52.81,94,100,4.41,overcast clouds
Harper,LR,4.375,-7.7169,76.03,91,62,8.39,broken clouds
Lebu,CL,-37.6167,-73.65,47.14,69,6,16.26,clear sky
Canico,PT,32.6333,-16.85,72.23,64,40,20.71,scattered clouds
Dunedin,NZ,-45.8742,170.5036,56.77,54,73,4.34,broken clouds
Maues,BR,-3.3836,-57.7186,81.46,48,33,3.29,scattered clouds
Alice Springs,AU,-23.7,133.8833,67.55,30,40,17.27,scattered clouds
Torbay,CA,47.6666,-52.7314,51.58,94,100,14.97,overcast clouds
Umm Lajj,SA,25.0213,37.2685,83.8,62,0,8.66,clear sky
Port-Gentil,GA,-0.7193,8.7815,76.86,80,100,2.8,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,54.88,87,100,5.23,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,24.08,86,100,1.57,overcast clouds
Mount Gambier,AU,-37.8333,140.7667,55.62,50,20,9.75,few clouds
Hrebinka,UA,50.1171,32.4361,46.24,85,0,4.36,clear sky
Takaungu,KE,-3.6837,39.8566,73.24,87,77,12.21,broken clouds
Moerai,PF,-22.4333,-151.3333,73.8,76,1,11.79,clear sky
Eyrarbakki,IS,63.863,-21.1481,41.05,80,100,8.57,overcast clouds
Bengkulu,ID,-3.8004,102.2655,76.82,76,100,2.55,moderate rain
Hangu,CN,39.2489,117.7892,55.44,60,11,15.35,few clouds
Emmett,US,43.8735,-116.4993,78.17,41,61,4.21,broken clouds
Ust-Kuyga,RU,70.0167,135.6,24.66,86,100,18.88,light snow
Seoul,KR,37.5683,126.9778,60.24,72,40,5.75,scattered clouds
Chicama,PE,-7.8447,-79.1469,57.74,83,90,7.38,overcast clouds
Honningsvag,NO,70.9821,25.9704,44.35,70,75,14.97,broken clouds
Lere,NG,10.387,8.5726,68.07,92,73,2.53,broken clouds
Noumea,NC,-22.2763,166.4572,84.18,99,65,18.16,broken clouds
Luanda,AO,-8.8368,13.2343,75.2,83,100,4.61,overcast clouds
Nanortalik,GL,60.1432,-45.2371,34.16,93,100,23.49,snow
Maur,IN,30.0833,75.25,73.36,85,100,7.0,overcast clouds
Jawhar,SO,2.7809,45.5005,74.52,85,88,11.79,overcast clouds
Pecos,US,31.4229,-103.4932,77.31,36,40,10.36,scattered clouds
Iranshahr,IR,27.2025,60.6848,66.54,5,0,0.0,clear sky
Sorgun,TR,39.8101,35.186,50.72,93,100,4.68,light rain
Mhlume,SZ,-26.0333,31.85,63.9,75,2,6.89,clear sky
Marzuq,YE,14.4,46.4667,71.64,50,50,4.12,scattered clouds
Araouane,ML,18.9048,-3.5265,92.93,22,25,12.8,scattered clouds
Soubre,CI,5.7856,-6.6083,71.01,100,55,1.63,broken clouds
Yeppoon,AU,-23.1333,150.7333,80.38,66,0,10.18,clear sky
Sambava,MG,-14.2667,50.1667,67.01,85,15,11.5,few clouds
Cooma,AU,-36.2333,149.1333,63.54,42,12,10.51,few clouds
Maldonado,UY,-34.6667,-54.9167,62.22,52,6,9.1,clear sky
Havelock,US,34.8791,-76.9013,72.95,87,73,6.44,broken clouds
Brigantine,US,39.4101,-74.3646,66.0,82,94,4.0,overcast clouds
Saint Anthony,US,45.0205,-93.218,44.2,66,0,5.99,clear sky
Brae,GB,60.3964,-1.353,48.49,74,100,17.72,overcast clouds
Pringsewu,ID,-5.3582,104.9744,76.39,84,100,3.89,overcast clouds
Pontianak,ID,-0.0333,109.3333,75.18,94,40,3.44,heavy intensity rain
Cam Ranh,VN,11.9214,109.1591,76.96,100,75,5.75,thunderstorm with rain
Ivdel,RU,60.6911,60.4206,41.34,93,100,4.52,overcast clouds
Henties Bay,NA,-22.116,14.2845,56.39,86,88,5.21,overcast clouds
Siniscola,IT,40.5719,9.6922,54.95,70,49,3.53,scattered clouds
Contai,IN,21.7786,87.7536,80.13,84,10,1.23,clear sky
Port Said,EG,31.2565,32.2841,72.23,71,0,11.12,clear sky
Uyuni,BO,-20.4597,-66.825,41.95,11,0,9.1,clear sky
Palmer,US,42.1584,-72.3287,60.67,64,95,1.99,overcast clouds
Yangambi,CD,0.8102,24.4336,65.48,99,97,1.05,overcast clouds
Codrington,AU,-38.2667,141.9667,54.52,59,23,14.83,few clouds
Bella Union,UY,-30.2752,-57.6007,60.64,58,0,9.55,clear sky
Edd,ER,13.9297,41.6925,88.12,57,67,1.39,broken clouds
Saint-Denis,FR,48.9167,2.3333,54.14,81,0,6.91,clear sky
Bay Roberts,CA,47.5999,-53.2648,52.34,89,88,8.01,overcast clouds
Tagusao,PH,9.1924,117.8141,84.83,68,96,3.53,overcast clouds
Bandipur,NP,27.9333,84.4167,64.08,83,100,1.59,overcast clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,76,100,17.27,light rain
Aurora,US,39.7294,-104.8319,49.59,74,100,3.44,overcast clouds
Saint Albans,GB,51.75,-0.3333,52.5,94,0,13.8,clear sky
Sanary-Sur-Mer,FR,43.1178,5.8001,69.89,73,18,4.27,few clouds
Giresun,TR,40.5,38.5,44.13,57,100,2.44,overcast clouds
Vardo,NO,70.3705,31.1107,40.98,87,23,12.66,few clouds
Talakan,RU,50.3167,130.3667,39.9,55,100,2.04,overcast clouds
Narasannapeta,IN,18.4167,84.05,77.7,89,94,5.86,overcast clouds
Zhigansk,RU,66.7697,123.3711,22.51,89,100,12.91,overcast clouds
Leno,IT,45.3725,10.2166,64.87,84,27,4.61,scattered clouds
